Product,Colour,Picture,Care Instructions
Relaxed-fit knitted sweater in organic cotton,"light pink, Blue","https://images.hugoboss.com/is/image/boss/hbeu50435609_239_350?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50435609_239_300?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50435609_239_360?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50435609_239_340?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50435609_239_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05","30°C mild fine wash, Do Not Bleach, Do Not Tumble Dry, Iron Low Heat, Chemical dry cleaning P"
Colour-block zip-neck sweater with curved logo,Dark Blue,"https://images.hugoboss.com/is/image/boss/hbeu50456126_410_350?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50456126_410_300?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50456126_410_360?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50456126_410_340?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50456126_410_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05","30°C mild fine wash, Do Not Bleach, Do Not Tumble Dry, Iron Low Heat, Gentle chemical dry cleaning P"
Zip-neck sweater in extra-fine merino wool,Dark Green,"https://images.hugoboss.com/is/image/boss/hbeu50455990_304_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05","careinstructioncode.S30R, Do Not Bleach, Do Not Tumble Dry, Iron Low Heat, Gentle chemical dry cleaning P"
Short-sleeved sweater in mixed structures with polo collar,Silver,"https://images.hugoboss.com/is/image/boss/hbeu50452422_041_350?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50452422_041_300?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50452422_041_340?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50452422_041_360?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50452422_041_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05","careinstructioncode.S30R, Do Not Bleach, Do Not Tumble Dry, Iron Medium Heat, Chemical dry cleaning P"
Cotton-blend sweater with logo-print quarter zip,"Black, Dark Blue","https://images.hugoboss.com/is/image/boss/hbeu50456124_001_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05","30°C mild fine wash, Do Not Bleach, Do Not Tumble Dry, Iron Low Heat, Gentle chemical dry cleaning P"
Relaxed-fit knitted sweater in organic cotton,"Blue, light pink","https://images.hugoboss.com/is/image/boss/hbeu50435609_460_350?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50435609_460_300?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50435609_460_360?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50435609_460_340?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50435609_460_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05","30°C mild fine wash, Do Not Bleach, Do Not Tumble Dry, Iron Low Heat, Chemical dry cleaning P"
Slim-fit sweater in cotton with rolled-edge collar,"Dark Green, Blue, Dark Blue, Light Beige","https://images.hugoboss.com/is/image/boss/hbeu50452448_301_350?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50452448_301_300?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50452448_301_360?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50452448_301_340?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50452448_301_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05","careinstructioncode.S30R, Do Not Bleach, Do Not Tumble Dry, Iron Medium Heat, Chemical dry cleaning P"
Mesh-detail logo sweater in organic cotton,"Black, Dark Green, Light Grey","https://images.hugoboss.com/is/image/boss/hbeu50452343_001_350?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50452343_001_300?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50452343_001_360?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50452343_001_340?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50452343_001_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05","30°C mild fine wash, Do Not Bleach, Do Not Tumble Dry, Iron Low Heat, Gentle chemical dry cleaning P"
Slim-fit turtleneck sweater in extra-fine merino wool,Red,"https://images.hugoboss.com/is/image/boss/hbeu50455988_693_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05","careinstructioncode.S30R, Do Not Bleach, Do Not Tumble Dry, Iron Low Heat, Gentle chemical dry cleaning P"
Zip-neck sweater in virgin wool and cotton,"Dark Green, Black","https://images.hugoboss.com/is/image/boss/hbeu50435244_305_350?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50435244_305_300?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50435244_305_360?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50435244_305_340?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50435244_305_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05","careinstructioncode.S30R, Do Not Bleach, Do Not Tumble Dry, Iron Medium Heat, Chemical dry cleaning P"
Cotton-blend sweater with jacquard-knitted pinstripes and logos,Black,"https://images.hugoboss.com/is/image/boss/hbeu50455989_001_350?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50455989_001_300?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50455989_001_360?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50455989_001_340?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50455989_001_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05","Hand Wash Only, Do Not Bleach, Do Not Tumble Dry, Iron Low Heat, Gentle chemical dry cleaning P"
Turtleneck sweater in extra-fine merino wool,Black,"https://images.hugoboss.com/is/image/boss/hbeu50456015_001_350?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50456015_001_300?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50456015_001_360?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50456015_001_340?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50456015_001_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05","careinstructioncode.S30R, Do Not Bleach, Do Not Tumble Dry, Iron Low Heat, Gentle chemical dry cleaning P"
Cotton-blend sweater with logo-print quarter zip,"Dark Blue, Black","https://images.hugoboss.com/is/image/boss/hbeu50456124_410_350?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50456124_410_300?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50456124_410_360?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50456124_410_340?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50456124_410_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05","30°C mild fine wash, Do Not Bleach, Do Not Tumble Dry, Iron Low Heat, Gentle chemical dry cleaning P"
Knitted cardigan in virgin wool and cotton,"Dark Blue, Black","https://images.hugoboss.com/is/image/boss/hbeu50435350_404_350?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50435350_404_300?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50435350_404_360?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50435350_404_340?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50435350_404_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05","careinstructioncode.S30R, Do Not Bleach, Do Not Tumble Dry, Iron Medium Heat, Chemical dry cleaning P"
Silk sweater in slim fit with shadow-effect structure,Dark Blue,"https://images.hugoboss.com/is/image/boss/hbeu50457730_404_350?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50457730_404_300?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50457730_404_360?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50457730_404_340?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50457730_404_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05","Do Not Wash, Do Not Bleach, Do Not Tumble Dry, Iron Low Heat, Gentle chemical dry cleaning P"
Regular-fit jacket with silicone logo badge,Dark Blue,"https://images.hugoboss.com/is/image/boss/hbeu50455414_404_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05","careinstructioncode.S30R, Do Not Bleach, Do Not Tumble Dry, Iron Low Heat, Do not chemical dry clean"
Turtleneck sweater in extra-fine Italian merino wool,"Blue, Dark Blue, Dark Green, Beige, Grey, Black","https://images.hugoboss.com/is/image/boss/hbeu50392083_408_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05","careinstructioncode.S30R, Do Not Bleach, Do Not Tumble Dry, Iron Medium Heat, Chemical dry cleaning P"
Polo-collar sweater in virgin wool with embroidered logo,"Blue, Red, Dark Blue, Beige, Grey, Black","https://images.hugoboss.com/is/image/boss/hbeu50435429_407_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05","careinstructioncode.S30R, Do Not Bleach, Do Not Tumble Dry, Iron Medium Heat, Chemical dry cleaning P"
Turtleneck sweater in extra-fine Italian merino wool,"Dark Green, Blue, Dark Blue, Beige, Grey, Black","https://images.hugoboss.com/is/image/boss/hbeu50392083_305_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05","careinstructioncode.S30R, Do Not Bleach, Do Not Tumble Dry, Iron Medium Heat, Chemical dry cleaning P"
Stretch-piqué slim-fit polo shirt with striped collar,"White, Red, Dark Blue, Black","https://images.hugoboss.com/is/image/boss/hbeu50448546_100_350?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50448546_100_300?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50448546_100_360?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50448546_100_340?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50448546_100_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05","30°C mild fine wash, Do Not Bleach, Do Not Tumble Dry, Iron Low Heat, Do not chemical dry clean"
Polo-collar sweater in virgin wool with embroidered logo,"Red, Blue, Dark Blue, Beige, Grey, Black","https://images.hugoboss.com/is/image/boss/hbeu50435429_611_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05","careinstructioncode.S30R, Do Not Bleach, Do Not Tumble Dry, Iron Medium Heat, Chemical dry cleaning P"
Colour-block sweater with curved logo,"Light Brown, Dark Blue","https://images.hugoboss.com/is/image/boss/hbeu50456125_240_350?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50456125_240_300?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50456125_240_360?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50456125_240_340?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50456125_240_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05","30°C mild fine wash, Do Not Bleach, Do Not Tumble Dry, Iron Low Heat, Gentle chemical dry cleaning P"
Zipped cardigan in Italian virgin wool with embroidered logo,"Light Brown, Dark Blue, Grey, Black","https://images.hugoboss.com/is/image/boss/hbeu50435451_240_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05","careinstructioncode.S30R, Do Not Bleach, Do Not Tumble Dry, Iron Medium Heat, Chemical dry cleaning P"
Polo-collar sweater in virgin wool with embroidered logo,"Beige, Red, Blue, Dark Blue, Grey, Black","https://images.hugoboss.com/is/image/boss/hbeu50435429_261_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05","careinstructioncode.S30R, Do Not Bleach, Do Not Tumble Dry, Iron Medium Heat, Chemical dry cleaning P"
Colour-block sweater with curved logo,"Dark Blue, Light Brown","https://images.hugoboss.com/is/image/boss/hbeu50456125_410_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05","30°C mild fine wash, Do Not Bleach, Do Not Tumble Dry, Iron Low Heat, Gentle chemical dry cleaning P"
Relaxed-fit cotton-blend sweater with tonal panels,Black,"https://images.hugoboss.com/is/image/boss/hbeu50456000_001_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05","30°C mild fine wash, Do Not Bleach, Do Not Tumble Dry, Iron Low Heat, Gentle chemical dry cleaning P"
Zip-neck sweater in virgin wool and cotton,"Black, Dark Green","https://images.hugoboss.com/is/image/boss/hbeu50435244_001_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05","careinstructioncode.S30R, Do Not Bleach, Do Not Tumble Dry, Iron Medium Heat, Chemical dry cleaning P"
Regular-fit structured-stripe sweater in single jersey,"Dark Blue, Grey","https://images.hugoboss.com/is/image/boss/hbeu50454944_404_350?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50454944_404_300?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50454944_404_360?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50454944_404_340?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50454944_404_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05","careinstructioncode.S30R, Do Not Bleach, Do Not Tumble Dry, Iron Low Heat, Gentle chemical dry cleaning P"
Relaxed-fit hoodie in French terry with logo patch,Black,"https://images.hugoboss.com/is/image/boss/hbeu50462789_001_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05","30°C mild fine wash, Do Not Bleach, Do Not Tumble Dry, Iron Low Heat, Do not chemical dry clean"
Regular-fit structured-stripe sweater in single jersey,"Grey, Dark Blue","https://images.hugoboss.com/is/image/boss/hbeu50454944_039_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05, https://images.hugoboss.com/is/image/boss/hbeu50454944_039_300?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50454944_039_360?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50454944_039_340?$large$=&fit=crop,1&align=1,1","careinstructioncode.S30R, Do Not Bleach, Do Not Tumble Dry, Iron Low Heat, Gentle chemical dry cleaning P"
French-terry-cotton jacket with woven logo patch,Black,"https://images.hugoboss.com/is/image/boss/hbeu50462803_001_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05","30°C mild fine wash, Do Not Bleach, Do Not Tumble Dry, Iron Low Heat, Gentle chemical dry cleaning P"
Mesh-detail logo sweater in organic cotton,"Dark Green, Light Grey, Black","https://images.hugoboss.com/is/image/boss/hbeu50452343_307_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05","30°C mild fine wash, Do Not Bleach, Do Not Tumble Dry, Iron Low Heat, Gentle chemical dry cleaning P"
Jacquard-knit sweater in organic cotton and kapok,Dark Blue,"https://images.hugoboss.com/is/image/boss/hbeu50454933_404_350?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50454933_404_300?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50454933_404_360?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50454933_404_340?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50454933_404_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05","careinstructioncode.S30R, Do Not Bleach, Do Not Tumble Dry, Iron Low Heat, Gentle chemical dry cleaning P"
Zip-up knitted jacket with logo badge,Dark Blue,"https://images.hugoboss.com/is/image/boss/hbeu50456020_410_350?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50456020_410_300?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50456020_410_360?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50456020_410_340?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50456020_410_341?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50456020_410_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05","30°C mild fine wash, Do Not Bleach, Do Not Tumble Dry, Iron Low Heat, Do not chemical dry clean"
V-neck sweater in Italian virgin wool with logo embroidery,Purple,"https://images.hugoboss.com/is/image/boss/hbeu50457755_510_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05","careinstructioncode.S30R, Do Not Bleach, Do Not Tumble Dry, Iron Medium Heat, Chemical dry cleaning P"
Zip-up cardigan in cotton and virgin wool,Grey,"https://images.hugoboss.com/is/image/boss/hbeu50457685_030_350?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50457685_030_300?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50457685_030_360?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50457685_030_340?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50457685_030_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05","careinstructioncode.S30R, Do Not Bleach, Do Not Tumble Dry, Iron Medium Heat, Gentle chemical dry cleaning P"
Mock-neck sweater in a wool blend,"Dark Red, Light Blue, Dark Blue, Black","https://images.hugoboss.com/is/image/boss/hbeu50442148_609_350?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50442148_609_300?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50442148_609_360?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50442148_609_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05","Do Not Wash, Do Not Bleach, Do Not Tumble Dry, Iron Medium Heat, Chemical dry cleaning P"
Regular-fit sweater in pure cashmere,"Dark Red, Dark Blue, Light Beige, Light Grey, Black","https://images.hugoboss.com/is/image/boss/hbeu50442201_609_350?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50442201_609_300?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50442201_609_360?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50442201_609_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05","careinstructioncode.S30R, Do Not Bleach, Do Not Tumble Dry, Iron Medium Heat, Chemical dry cleaning P"
Virgin-wool sweater with garment-dyed finish,"Black, Dark Blue","https://images.hugoboss.com/is/image/boss/hbeu50443398_001_350?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50443398_001_300?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50443398_001_360?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50443398_001_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05","careinstructioncode.S30R, Do Not Bleach, Do Not Tumble Dry, Iron Low Heat, Chemical dry cleaning P"
Embroidered-logo sweater in Italian cotton,"Black, Dark Blue, Dark Grey","https://images.hugoboss.com/is/image/boss/hbeu50442138_001_350?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50442138_001_300?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50442138_001_360?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50442138_001_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05","30°C mild fine wash, Do Not Bleach, Do Not Tumble Dry, Iron Medium Heat, Chemical dry cleaning P"
Mercerised-cotton sweater with FC Bayern lettering,Dark Red,"https://images.hugoboss.com/is/image/boss/hbeu50452890_608_350?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50452890_608_300?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50452890_608_360?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50452890_608_340?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50452890_608_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05","Hand Wash Only, Do Not Bleach, Do Not Tumble Dry, Do Not Iron, Do not chemical dry clean"
Knitted sweater with crew neckline,"Black, Dark Blue, Grey","https://images.hugoboss.com/is/image/boss/hbeu50434315_001_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05","careinstructioncode.S30R, Do Not Bleach, Do Not Tumble Dry, Iron Low Heat, Gentle chemical dry cleaning P"
Zip-neck sweater in cotton with virgin wool,Light Blue,"https://images.hugoboss.com/is/image/boss/hbeu50451865_489_350?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50451865_489_300?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50451865_489_360?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50451865_489_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05","careinstructioncode.S30R, Do Not Bleach, Do Not Tumble Dry, Iron Medium Heat, Gentle chemical dry cleaning P"
Cotton-blend French-terry tracksuit bottoms with logo print,"Black, Dark Blue, Beige","https://images.hugoboss.com/is/image/boss/hbeu50457930_001_350?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50457930_001_300?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50457930_001_360?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50457930_001_340?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50457930_001_240?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50457930_001_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05","30°C mild fine wash, Do Not Bleach, Do Not Tumble Dry, Iron Low Heat, Do not chemical dry clean"
